53.76,78.6
17.65,1.91
26.89,8.52
45.88,55.94
55.57,94.49
50.64,78.95
55.93,103.0
26.52,9.69
24.5,7.63
55.11,102.88
48.83,49.62
52.34,70.17
48.21,54.26
22.85,6.29
58.41,93.6
24.42,8.21
28.33,10.04
53.26,75.28
17.66,1.79
20.13,5.89
53.62,71.54
53.91,75.58
41.18,43.09
36.36,25.89
24.09,7.16
24.7,7.92
20.29,5.38
48.0,54.75
46.08,51.54
22.41,6.44
37.32,29.4
48.75,58.37
53.42,72.15
58.64,94.02
57.85,109.2
40.96,41.07
22.57,6.59
22.04,6.65
22.9,6.44
20.96,5.09
24.46,7.56
17.81,1.95
17.91,2.96
56.02,103.88
48.18,54.75
47.74,56.19
56.87,101.54
42.72,39.43
26.65,9.73
22.13,6.35
48.4,56.52
22.57,6.84
20.85,5.7
35.42,26.3
38.79,27.54
28.86,10.99
41.06,43.11
53.2,77.56
22.58,6.22
38.1,28.89
58.47,106.22
43.18,39.88
28.58,11.49
57.91,107.59
37.43,24.97
26.15,8.76
24.99,7.88
20.83,5.32
17.61,3.78
22.78,6.32
37.48,28.37
28.92,10.18
18.12,4.55
38.07,28.56
55.93,103.06
17.83,1.58
45.35,54.99
22.6,6.93
20.85,5.36
50.66,71.36
45.6,56.42
51.24,80.04
43.58,38.18
18.01,3.13
20.76,5.21
45.01,59.29
56.63,96.88
28.58,11.17
17.85,3.6
26.51,8.71
42.43,43.24
37.55,28.47
48.19,53.41
50.51,80.36
36.46,25.66
18.12,3.25
26.03,9.47
37.06,24.89
28.8,11.06
28.83,10.95
35.92,29.06
50.34,74.15
24.16,7.95
24.01,8.23
55.29,102.83
50.81,67.47
41.44,39.69
42.87,37.9
36.54,28.48
18.38,4.86
26.37,9.32
24.81,7.35
26.62,8.91
22.29,6.18
28.07,10.0
47.86,56.76
43.09,45.04
46.64,54.44
50.91,79.64
55.61,109.45
22.45,6.28
52.21,67.55
26.45,9.95
20.94,5.23
46.35,55.81
28.69,10.14
48.43,54.41
20.01,5.4
40.9,40.47
28.15,10.27
45.22,54.71
17.65,4.32
53.48,77.89
38.62,26.29
35.12,28.61
52.4,79.95
41.98,38.52
26.99,9.66
20.6,5.65
42.24,39.78
22.9,6.78
43.04,43.26
17.7,3.3
41.8,43.86
42.1,42.04
24.97,7.45
55.01,91.38
18.96,4.4
51.15,80.98
46.26,56.46
35.55,29.48
20.67,5.63
26.82,9.59
40.54,43.09
38.74,28.71
50.71,67.66
24.87,7.77
43.26,42.34
24.47,8.01
53.53,76.24
20.77,5.62
58.91,101.39
45.56,59.1
40.29,38.5
20.82,5.77
28.97,11.22
53.85,68.04
26.48,9.31
22.71,6.9
48.52,55.66
17.71,4.73
24.92,8.44
20.55,5.4
24.31,8.01
47.18,54.16
53.36,70.44
41.66,37.6
18.18,2.49
28.49,11.21
38.55,25.98
22.92,6.06
36.08,27.68
43.64,41.24
24.03,7.69
22.46,6.64
28.71,10.34
56.19,103.71
43.3,41.27
17.54,2.65
18.48,4.56
55.45,106.27
22.53,6.73
57.03,106.91
50.65,73.65
28.64,10.56
28.62,10.71
26.99,9.11
22.37,6.82
24.48,7.03
38.32,29.4
24.03,7.84
57.77,101.48
55.78,101.57
26.97,9.97
41.08,38.64
22.56,6.55
22.17,6.38
20.49,5.98
24.68,7.99
53.04,79.3
53.72,73.28
22.28,6.58
35.51,27.31
26.01,9.28
47.62,56.63
47.46,51.1
17.28,1.79
20.14,5.43
36.97,26.99
18.59,1.53
22.67,6.15
22.16,6.82
58.59,96.16
26.13,9.53
48.47,54.33
22.44,6.67
22.07,6.36
20.5,5.57
52.9,70.23
22.68,6.63
53.05,78.49
38.59,27.59
47.37,55.17
35.92,27.72
24.43,8.49
28.82,10.56
17.19,2.25
22.17,6.95
38.11,29.38
28.91,11.45
20.41,5.13
22.38,6.49
48.79,50.43
17.79,1.04
22.29,6.84
53.65,74.04
47.69,57.51
38.47,29.34
26.56,9.1
40.77,39.78
40.43,37.88
51.09,78.32
17.71,1.84
38.82,28.79
42.98,42.11
26.72,8.88
24.51,8.26
55.11,95.87
20.23,5.11
28.49,11.44
24.71,8.1
46.36,49.79
41.52,37.49
22.05,6.04
53.1,79.65
38.2,24.59
26.3,9.69
36.24,29.36
28.52,11.07
56.28,101.66
50.91,70.94
20.38,5.98
26.91,9.16
24.39,8.03
28.89,10.89
56.31,98.0
24.5,7.58
47.36,51.25
26.02,9.81
43.96,40.61
26.4,8.52
52.6,75.14
20.37,5.14
28.04,10.45
47.06,58.74
57.21,106.33
48.89,56.62
47.65,50.63
41.35,39.97
28.38,10.27
45.19,53.18
17.83,1.19
26.07,9.22
38.48,25.56
51.95,71.23
28.17,10.85
